topology_name,format,number_of_nodes,number_of_edges,connected,directed,bandwidth_available,latency_available,source_file
Cesnet201006,GML,52,63,True,False,False,False,data\raw\gml\gml\Cesnet201006.gml
Chinanet,GML,42,66,True,False,False,False,data\raw\gml\gml\Chinanet.gml
Claranet,GML,15,18,True,False,False,False,data\raw\gml\gml\Claranet.gml
CrlNetworkServices,GML,33,38,True,False,False,False,data\raw\gml\gml\CrlNetworkServices.gml
Cynet,GML,30,29,True,False,False,False,data\raw\gml\gml\Cynet.gml
Darkstrand,GML,28,31,True,False,False,False,data\raw\gml\gml\Darkstrand.gml
Dataxchange,GML,6,11,True,False,False,False,data\raw\gml\gml\Dataxchange.gml
DeutscheTelekom,GML,39,62,False,False,False,False,data\raw\gml\gml\DeutscheTelekom.gml
DeutscheTelekomIpTransitIpPopsOnly,GML,39,62,False,False,False,False,data\raw\gml\gml\DeutscheTelekomIpTransitIpPopsOnly.gml
EliBackbone,GML,20,30,True,False,False,False,data\raw\gml\gml\EliBackbone.gml
Epoch,GML,6,7,True,False,False,False,data\raw\gml\gml\Epoch.gml
Evolink,GML,37,45,True,False,False,False,data\raw\gml\gml\Evolink.gml
Forthnet,GML,62,62,True,False,False,False,data\raw\gml\gml\Forthnet.gml
Garr199901,GML,16,18,True,False,False,False,data\raw\gml\gml\Garr199901.gml
Gblnet,GML,8,7,True,False,False,False,data\raw\gml\gml\Gblnet.gml
Geant2001,GML,27,38,True,False,False,False,data\raw\gml\gml\Geant2001.gml
Geant2009,GML,34,52,True,False,False,False,data\raw\gml\gml\Geant2009.gml
Geant2012,GML,40,61,True,False,False,False,data\raw\gml\gml\Geant2012.gml
Getnet,GML,7,8,True,False,False,False,data\raw\gml\gml\Getnet.gml
Globalcenter,GML,9,36,True,False,False,False,data\raw\gml\gml\Globalcenter.gml
Goodnet,GML,17,31,True,False,False,False,data\raw\gml\gml\Goodnet.gml
Gridnet,GML,9,20,True,False,False,False,data\raw\gml\gml\Gridnet.gml
GtsCzechRepublic,GML,32,33,True,False,False,False,data\raw\gml\gml\GtsCzechRepublic.gml
GtsPoland,GML,33,37,True,False,False,False,data\raw\gml\gml\GtsPoland.gml
HostwayInternational,GML,16,21,True,False,False,False,data\raw\gml\gml\HostwayInternational.gml
HurricaneElectric,GML,24,37,True,False,False,False,data\raw\gml\gml\HurricaneElectric.gml
Ibm,GML,18,24,True,False,False,False,data\raw\gml\gml\Ibm.gml
Ilan,GML,14,15,True,False,False,False,data\raw\gml\gml\Ilan.gml
Integra,GML,27,36,True,False,False,False,data\raw\gml\gml\Integra.gml
Itnet,GML,11,10,True,False,False,False,data\raw\gml\gml\Itnet.gml
Janetbackbone,GML,29,45,True,False,False,False,data\raw\gml\gml\Janetbackbone.gml
JanetExternal,GML,12,10,False,False,False,False,data\raw\gml\gml\JanetExternal.gml
Jgn2Plus,GML,18,17,True,False,False,False,data\raw\gml\gml\Jgn2Plus.gml
KentmanAug2005,GML,28,29,False,False,False,False,data\raw\gml\gml\KentmanAug2005.gml
KentmanJul2005,GML,16,17,True,False,False,False,data\raw\gml\gml\KentmanJul2005.gml
Kreonet,GML,13,12,True,False,False,False,data\raw\gml\gml\Kreonet.gml
LambdaNet,GML,42,46,True,False,False,False,data\raw\gml\gml\LambdaNet.gml
Latnet,GML,69,74,True,False,False,False,data\raw\gml\gml\Latnet.gml
Layer42,GML,6,7,True,False,False,False,data\raw\gml\gml\Layer42.gml
Litnet,GML,43,43,True,False,False,False,data\raw\gml\gml\Litnet.gml
Marnet,GML,20,27,True,False,False,False,data\raw\gml\gml\Marnet.gml
Mren,GML,6,5,True,False,False,False,data\raw\gml\gml\Mren.gml
Napnet,GML,6,7,True,False,False,False,data\raw\gml\gml\Napnet.gml
Navigata,GML,13,17,True,False,False,False,data\raw\gml\gml\Navigata.gml
Netrail,GML,7,10,True,False,False,False,data\raw\gml\gml\Netrail.gml
NetworkUsa,GML,35,39,True,False,False,False,data\raw\gml\gml\NetworkUsa.gml
Niif,GML,36,41,True,False,False,False,data\raw\gml\gml\Niif.gml
Noel,GML,19,25,True,False,False,False,data\raw\gml\gml\Noel.gml
Nordu1989,GML,7,6,True,False,False,False,data\raw\gml\gml\Nordu1989.gml
Nordu1997,GML,14,13,True,False,False,False,data\raw\gml\gml\Nordu1997.gml
Nsfnet,GML,13,15,True,False,False,False,data\raw\gml\gml\Nsfnet.gml
Packetexchange,GML,21,27,True,False,False,False,data\raw\gml\gml\Packetexchange.gml
Padi,GML,15,6,False,False,False,False,data\raw\gml\gml\Padi.gml
Peer1,GML,16,20,True,False,False,False,data\raw\gml\gml\Peer1.gml
Psinet,GML,24,25,True,False,False,False,data\raw\gml\gml\Psinet.gml
Quest,GML,20,31,True,False,False,False,data\raw\gml\gml\Quest.gml
Renam,GML,5,4,True,False,False,False,data\raw\gml\gml\Renam.gml
Renater1999,GML,24,23,True,False,False,False,data\raw\gml\gml\Renater1999.gml
Renater2001,GML,24,27,True,False,False,False,data\raw\gml\gml\Renater2001.gml
Renater2004,GML,30,36,True,False,False,False,data\raw\gml\gml\Renater2004.gml
Renater2006,GML,33,43,True,False,False,False,data\raw\gml\gml\Renater2006.gml
Renater2008,GML,33,43,True,False,False,False,data\raw\gml\gml\Renater2008.gml
Renater2010,GML,43,56,True,False,False,False,data\raw\gml\gml\Renater2010.gml
Restena,GML,19,21,True,False,False,False,data\raw\gml\gml\Restena.gml
Rhnet,GML,16,18,True,False,False,False,data\raw\gml\gml\Rhnet.gml
Rnp,GML,31,34,True,False,False,False,data\raw\gml\gml\Rnp.gml
Sago,GML,18,17,True,False,False,False,data\raw\gml\gml\Sago.gml
Sanet,GML,43,45,True,False,False,False,data\raw\gml\gml\Sanet.gml
Sanren,GML,7,7,True,False,False,False,data\raw\gml\gml\Sanren.gml
Savvis,GML,19,20,True,False,False,False,data\raw\gml\gml\Savvis.gml
Sinet,GML,74,76,True,False,False,False,data\raw\gml\gml\Sinet.gml
Singaren,GML,11,10,True,False,False,False,data\raw\gml\gml\Singaren.gml
Spiralight,GML,15,16,True,False,False,False,data\raw\gml\gml\Spiralight.gml
Sprint,GML,11,18,True,False,False,False,data\raw\gml\gml\Sprint.gml
Telcove,GML,73,70,False,False,False,False,data\raw\gml\gml\Telcove.gml
Telecomserbia,GML,6,6,True,False,False,False,data\raw\gml\gml\Telecomserbia.gml
Twaren,GML,20,20,True,False,False,False,data\raw\gml\gml\Twaren.gml
Uran,GML,24,24,True,False,False,False,data\raw\gml\gml\Uran.gml
VisionNet,GML,24,23,True,False,False,False,data\raw\gml\gml\VisionNet.gml
VtlWavenet2008,GML,88,92,True,False,False,False,data\raw\gml\gml\VtlWavenet2008.gml
VtlWavenet2011,GML,92,96,True,False,False,False,data\raw\gml\gml\VtlWavenet2011.gml
Xeex,GML,24,34,True,False,False,False,data\raw\gml\gml\Xeex.gml
Xspedius,GML,34,49,True,False,False,False,data\raw\gml\gml\Xspedius.gml
York,GML,23,24,True,False,False,False,data\raw\gml\gml\York.gml
